user_id,item_list
0,3569 6404 3567 17955
1,7259 2513 15972 17955
2,4657 4657 3834 17955
4,4634 4634 667 17955
5,12196 6798 12196 17955
6,14912 4844 14784 17955
7,6798 6798 5634 17955
8,5192 5192 18174 17955
9,4082 9303 4083 17955
10,3901 3901 11836 17955
11,18360 18360 13263 17955
12,4705 3529 17293 17955
13,4785 4785 4785 17955
14,5725 7885 6206 17955
15,18301 5743 5731 17955
16,9202 9204 9202 17955
17,3251 5645 3251 17955
18,8347 8347 15522 17955
19,7190 7335 7190 17955
20,18494 18494 18494 17955
21,3576 9208 6200 17955
22,12257 7496 12257 8638
23,18494 18494 18494 17955
24,18494 18494 18494 17955
25,4082 10167 4198 17955
26,18494 18494 18494 17955
27,15102 15102 17560 17955
28,3146 389 5400 17955
29,6170 5114 8498 17955
30,17748 4280 15706 17955
31,4634 4634 8536 17955
32,16232 8186 18184 8638
33,15118 8414 16177 17955
34,6174 5114 6174 17955
35,18153 4844 9015 17955
36,5089 16137 5089 17955
39,10194 4795 10054 17955
40,4497 4933 4551 17955
41,18494 18494 18494 17955
42,18494 18494 18494 17955
43,14847 3971 6142 17955
44,3568 3568 3563 17955
45,725 725 725 17955
46,18494 18494 18494 17955
47,7153 5296 3824 17955
48,18494 18494 18494 17955
49,724 724 724 17955
50,4728 9477 5600 17955
51,724 724 724 17955
52,4128 4128 11660 17955
53,15114 15114 15114 17955
54,7655 246 5251 17955
55,4280 4280 6172 17955
56,6117 17752 5936 17955
57,5562 5562 5059 17955
59,5715 4128 5713 17955
60,7661 7657 7657 17955
61,3529 4657 3534 8638
62,7118 12132 15553 17955
63,15101 6404 186 5113
64,4703 4703 4607 17955
65,9202 9202 8405 17955
66,7823 7823 7825 17955
67,18494 18494 18494 17955
68,18494 18494 18494 17955
69,7496 5522 1233 17955
71,10846 10846 11223 17955
72,8563 8414 10463 17955
74,11403 2835 544 17955
75,3852 7771 433 17955
76,18494 18494 18494 17955
77,18096 18096 18096 17955
78,18231 9203 18232 17955
79,15855 2513 4206 17955
80,739 1944 17351 17955
81,10142 10142 10741 17955
82,18494 18494 18494 17955
84,3565 3565 3573 17955
85,4194 3806 4486 17955
86,18494 18494 18494 17955
87,18494 18494 18494 17955
88,9093 9093 16374 17955
89,5918 5645 5059 17955
90,9133 9133 6536 17955
92,18494 18494 18494 17955
93,10068 10068 254 17955
94,7657 6292 8382 17955
95,15120 15120 12356 17955
96,5829 6404 14807 17955
97,4123 4194 7827 17955
98,8668 12469 3105 17955
102,9477 9477 5344 17955
